Blend,Edition,Start Date,End Date,Coffee 1,Ratio,Price,Coffee One,Coffee 2,Ratio,Price,Coffee Two,Coffee 3,Ratio,Price,Coffee Three,Total price green (€/kg),Price wholesale
Heute,Heute - Winter 2022,2023-01-01,2023-03-31,Cafeina :  Brazil : Natural,"70,00%","6,27 €","Cafeina :  Brazil : Natural : 0,7",Beshasha : Ethiopia : Washed,"20,00%","8,86 €","Beshasha : Ethiopia : Washed : 0,2",Kikai : Kenya : Washed,"10,00%","11,76 €","Kikai : Kenya : Washed : 0,1","€7,34",
Heute,Heute - Spring,2023-03-20,2023-06-30,Cafeina : Brazil : Natural,"70,00%","6,27 €","Cafeina : Brazil : Natural : 0,7",Diomed Montano : Colombia : Washed,"20,00%","12,76 €","Diomed Montano : Colombia : Washed : 0,2",Kabira : Ethiopia : Natural,"10,00%","9,97 €","Kabira : Ethiopia : Natural : 0,1","€7,94",
Heute,Heute - Spring,2023-04-10,2023-09-15,Cafeina : Brazil : Natural,"70,00%","6,27 €","Cafeina : Brazil : Natural : 0,7",Passiflora : Colombia : Washed,"20,00%","11,42 €","Passiflora : Colombia : Washed : 0,2",Gerda : Ethiopia : Natural,"10,00%","8,57 €","Gerda : Ethiopia : Natural : 0,1","€7,53",
Heute,Heute - Summer,2023-06-01,2023-09-30,Cafeina : Brazil : Natural,"70,00%","6,27 €","Cafeina : Brazil : Natural : 0,7",Shabira Shonora : Ethiopia : Natural,"30,00%","8,57 €","Shabira Shonora : Ethiopia : Natural : 0,3",0,"0,00%",,-,"€6,96",
Heute,Heute - Autumn,2023-08-01,2023-12-31,Cafeina : Brazil : Natural,"70,00%","6,27 €","Cafeina : Brazil : Natural : 0,7",Northern Huila : Colombia : Washed,"30,00%","8,86 €","Northern Huila : Colombia : Washed : 0,3",0,"0,00%",,-,"€7,05",
Heute,Heute - Winter 2023,2023-12-01,2024-06-30,TBC,,,TBC : ,TBC,,,TBC : ,0,"0,00%",,-,"€0,00",
Morgen,Morgen - Winter,2023-01-01,2023-04-01,Cafeina : Brazil : Natural,"60,00%","6,27 €","Cafeina : Brazil : Natural : 0,6",Koromii : Ethiopia : Natural,"20,00%","12,75 €","Koromii : Ethiopia : Natural : 0,2",Beshasha : Ethiopia : Washed,"20,00%","8,86 €","Beshasha : Ethiopia : Washed : 0,2","€8,08",
Morgen,Morgen - Spring,2023-03-20,2023-04-01,Cafeina : Brazil : Natural,"60,00%","6,27 €","Cafeina : Brazil : Natural : 0,6",Koromii : Ethiopia : Natural,"40,00%","12,75 €","Koromii : Ethiopia : Natural : 0,4",,,, : ,"€8,86",
Morgen,Morgen - Spring,2023-04-03,2023-06-30,Cafeina : Brazil : Natural,"60,00%","6,27 €","Cafeina : Brazil : Natural : 0,6",Shabira Shonora : Ethiopia : Natural,"40,00%","8,57 €","Shabira Shonora : Ethiopia : Natural : 0,4",,,, : ,"€7,19",
Morgen,Morgen - Autumn,2023-09-15,2023-12-31,TBC,,,,TBC,,,,,,,,,
Gestern,Gestern - Winter,2023-01-01,2023-03-30,Cafeina : Brazil : Natural,"60,00%","6,27 €","Cafeina : Brazil : Natural : 0,6",Beshasha : Ethiopia : Washed,"20,00%","8,86 €","Beshasha : Ethiopia : Washed : 0,2",Djafa : Guinea : Semi-washed Robusta,"20,00%","€7,54","Djafa : Guinea : Semi-washed Robusta : 0,2","€7,04",
Gestern,Gestern Spring,2023-03-20,2023-07-31,Cafeina : Brazil : Natural,"85,00%","6,27 €","Cafeina : Brazil : Natural : 0,85",Djafa 22 : Guinea : Semi-washed Robusta,"15,00%","€11,00","Djafa 22 : Guinea : Semi-washed Robusta : 0,15",,,,-,"€6,98",
Gestern,Gestern - Autumn,2023-08-01,2024-02-28,Cafeina : Brazil : Natural,"75,00%","6,27 €","Cafeina : Brazil : Natural : 0,75",Sedimai 23 : Guinea : Semi-washed Robusta,"25,00%","€7,93","Sedimai 23 : Guinea : Semi-washed Robusta : 0,25",,,,-,"€6,69",
Feliz Adventure Blend,Winter,2023-01-01,2023-03-30,Beshasha G2 : Ethiopia : Washed,"75,00%","€8,86","Beshasha G2 : Ethiopia : Washed : 0,75",Koromii  : Ethiopia : Natural,"25,00%","12,75 €","Koromii  : Ethiopia : Natural : 0,25",,,,,"€9,83",
Feliz Adventure Blend,Spring / Summer,2023-04-02,2023-06-28,Cafeina : Brazil : Natural,"50,00%","6,27 €","Cafeina : Brazil : Natural : 0,5",Shebera Shonora : Ethiopia : Natural,"50,00%","8,57 €","Shebera Shonora : Ethiopia : Natural : 0,5",,,,,"€7,42",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
